ubigeoCode,departament,province,district,populationCenter,description,length,latitude,altitude,population,livingPlace,timeMinutesToDistrictCapital,language,createdAt,updatedAt
1206060001,JUNIN,SATIPO,PANGOA,SAN MARTIN DE PANGOA,Capital del distrito de Pangoa,-74.488912402,-11.42829478,816.2,25000,6000,10,CASTELLANO,2023-01-15T18:12:28.414,2023-01-15T18:12:28.414
,,,,SANTA ROSA DE SONOMORO,,,,,,,,,2023-01-16T18:12:28.414,2023-01-16T18:12:28.414
,,,,SANTA ROSA DE PANGOA,,,,,,,,,2023-01-17T18:12:28.414,2023-01-17T18:12:28.414
,,,,BAJO CELENDIN,,,,,,,,,2023-01-18T18:12:28.414,2023-01-18T18:12:28.414
,,,,LOBERA,,,,,,,,,2023-01-19T18:12:28.414,2023-01-19T18:12:28.414
,,,,CARACOL,,,,,,,,,2023-01-20T18:12:28.414,2023-01-20T18:12:28.414
,,,,CHAVINI,,,,,,,,,2023-01-21T18:12:28.414,2023-01-21T18:12:28.414
,,,,CHAVINI (CERRO VERDE),,,,,,,,,2023-01-22T18:12:28.414,2023-01-22T18:12:28.414
,,,,ALTO CELENDIN,,,,,,,,,2023-01-23T18:12:28.414,2023-01-23T18:12:28.414
,,,,HILDAURO TORRES,,,,,,,,,2023-01-24T18:12:28.414,2023-01-24T18:12:28.414
,,,,SAN RAMON DE PANGOA,,,,,,,,,2023-01-25T18:12:28.414,2023-01-25T18:12:28.414
,,,,COMUNIQUIARI,,,,,,,,,2023-01-26T18:12:28.414,2023-01-26T18:12:28.414
,,,,ALTO CHAVINI,,,,,,,,,2023-01-27T18:12:28.414,2023-01-27T18:12:28.414
,,,,UNION CHAVINI,,,,,,,,,2023-01-28T18:12:28.414,2023-01-28T18:12:28.414
,,,,NUEVA PALESTINA,,,,,,,,,2023-01-29T18:12:28.414,2023-01-29T18:12:28.414
,,,,SAN PABLO DE QUIMOTARI,,,,,,,,,2023-01-30T18:12:28.414,2023-01-30T18:12:28.414
,,,,UNION ARCUELLA,,,,,,,,,2023-01-31T18:12:28.414,2023-01-31T18:12:28.414
,,,,BOLIVAR,,,,,,,,,2023-02-01T18:12:28.414,2023-02-01T18:12:28.414
,,,,VILLA LUZ,,,,,,,,,2023-02-02T18:12:28.414,2023-02-02T18:12:28.414
,,,,EL PORVENIR,,,,,,,,,2023-02-03T18:12:28.414,2023-02-03T18:12:28.414
,,,,LEONCIO PRADO,,,,,,,,,2023-02-04T18:12:28.414,2023-02-04T18:12:28.414
,,,,CANAAN,,,,,,,,,2023-02-05T18:12:28.414,2023-02-05T18:12:28.414
,,,,JOSE LEAL,,,,,,,,,2023-02-06T18:12:28.414,2023-02-06T18:12:28.414
,,,,LIBERTAD DE ARPAYO,,,,,,,,,2023-02-07T18:12:28.414,2023-02-07T18:12:28.414
,,,,NUEVA BETANIA,,,,,,,,,2023-02-08T18:12:28.414,2023-02-08T18:12:28.414
,,,,VILLA MARIA,,,,,,,,,2023-02-09T18:12:28.414,2023-02-09T18:12:28.414
,,,,VILCABAMBA,,,,,,,,,2023-02-10T18:12:28.414,2023-02-10T18:12:28.414
,,,,PAMPA TIGRE,,,,,,,,,2023-02-11T18:12:28.414,2023-02-11T18:12:28.414
,,,,VALENCIA,,,,,,,,,2023-02-12T18:12:28.414,2023-02-12T18:12:28.414
,,,,LA BREÑA,,,,,,,,,2023-02-13T18:12:28.414,2023-02-13T18:12:28.414
,,,,PORVENIR DE ALTO KIATARI,,,,,,,,,2023-02-14T18:12:28.414,2023-02-14T18:12:28.414
,,,,ALTO KIATARI,,,,,,,,,2023-02-15T18:12:28.414,2023-02-15T18:12:28.414
,,,,SANTA ROSA DE ALTO KIATARI,,,,,,,,,2023-02-16T18:12:28.414,2023-02-16T18:12:28.414
,,,,FORTALEZA,,,,,,,,,2023-02-17T18:12:28.414,2023-02-17T18:12:28.414
,,,,JUAN SANTOS ATAHUALPA,,,,,,,,,2023-02-18T18:12:28.414,2023-02-18T18:12:28.414
,,,,SAN JUAN DE PUEBLO LIBRE,,,,,,,,,2023-02-19T18:12:28.414,2023-02-19T18:12:28.414
,,,,CAMPIRUSHARI (CAIPIRUSHARI),,,,,,,,,2023-02-20T18:12:28.414,2023-02-20T18:12:28.414
,,,,CUBANTIA (KUBANTIA),,,,,,,,,2023-02-21T18:12:28.414,2023-02-21T18:12:28.414
,,,,CHUQUIBAMBILLA,,,,,,,,,2023-02-22T18:12:28.414,2023-02-22T18:12:28.414
,,,,ALTO ANAPATI,,,,,,,,,2023-02-23T18:12:28.414,2023-02-23T18:12:28.414
,,,,RIO BLANCO CHIRITENI,,,,,,,,,2023-02-24T18:12:28.414,2023-02-24T18:12:28.414
,,,,MAYNI,,,,,,,,,2023-02-25T18:12:28.414,2023-02-25T18:12:28.414
,,,,SHIMAPANGO,,,,,,,,,2023-02-26T18:12:28.414,2023-02-26T18:12:28.414
,,,,SANTA TERESITA,,,,,,,,,2023-02-27T18:12:28.414,2023-02-27T18:12:28.414
,,,,TRES UNIDOS DE MATERENI (MATERENI),,,,,,,,,2023-02-28T18:12:28.414,2023-02-28T18:12:28.414
,,,,ALTO CHICHIRENE,,,,,,,,,2023-03-01T18:12:28.414,2023-03-01T18:12:28.414
,,,,TINCAVENI,,,,,,,,,2023-03-02T18:12:28.414,2023-03-02T18:12:28.414
,,,,BOCA ANAPATE,,,,,,,,,2023-03-03T18:12:28.414,2023-03-03T18:12:28.414
,,,,CORIRI,,,,,,,,,2023-03-04T18:12:28.414,2023-03-04T18:12:28.414
,,,,YANIRO (YAVIRO),,,,,,,,,2023-03-05T18:12:28.414,2023-03-05T18:12:28.414
,,,,SHAORIATO,,,,,,,,,2023-03-06T18:12:28.414,2023-03-06T18:12:28.414
,,,,ALTO TINCAVENI,,,,,,,,,2023-03-07T18:12:28.414,2023-03-07T18:12:28.414
,,,,BOCA CHICHIRENE,,,,,,,,,2023-03-08T18:12:28.414,2023-03-08T18:12:28.414
,,,,BOCA SONARO,,,,,,,,,2023-03-09T18:12:28.414,2023-03-09T18:12:28.414
,,,,BOCA TINCAVENI,,,,,,,,,2023-03-10T18:12:28.414,2023-03-10T18:12:28.414
,,,,BOCA TIVENI,,,,,,,,,2023-03-11T18:12:28.414,2023-03-11T18:12:28.414
,,,,CASANCHO,,,,,,,,,2023-03-12T18:12:28.414,2023-03-12T18:12:28.414
,,,,ESMERALDA,,,,,,,,,2023-03-13T18:12:28.414,2023-03-13T18:12:28.414
,,,,HENCURIANI,,,,,,,,,2023-03-14T18:12:28.414,2023-03-14T18:12:28.414
,,,,INDEPENDENCIA,,,,,,,,,2023-03-15T18:12:28.414,2023-03-15T18:12:28.414
,,,,INTERANDINO,,,,,,,,,2023-03-16T18:12:28.414,2023-03-16T18:12:28.414
,,,,KIATARI,,,,,,,,,2023-03-17T18:12:28.414,2023-03-17T18:12:28.414
,,,,LA FLORIDA DE AJOS PAMPA,,,,,,,,,2023-03-18T18:12:28.414,2023-03-18T18:12:28.414
,,,,LIBERTAD MIRAFLORES DE ALTO KIATARI,,,,,,,,,2023-03-19T18:12:28.414,2023-03-19T18:12:28.414
,,,,NARANJAL,,,,,,,,,2023-03-20T18:12:28.414,2023-03-20T18:12:28.414
,,,,SAN CARLOS DE MAZARONQUIARI,,,,,,,,,2023-03-21T18:12:28.414,2023-03-21T18:12:28.414
,,,,SAN ENE,,,,,,,,,2023-03-22T18:12:28.414,2023-03-22T18:12:28.414
,,,,SHORA ALTO CORIRI,,,,,,,,,2023-03-23T18:12:28.414,2023-03-23T18:12:28.414
,,,,TZOMAVENI,,,,,,,,,2023-03-24T18:12:28.414,2023-03-24T18:12:28.414
,,,,NAYLAMP DE SONOMORO,,,,,,,,,2023-03-25T18:12:28.414,2023-03-25T18:12:28.414
,,,,RIO BLANCO,,,,,,,,,2023-03-26T18:12:28.414,2023-03-26T18:12:28.414
,,,,MICAELA BASTIDAS,,,,,,,,,2023-03-27T18:12:28.414,2023-03-27T18:12:28.414
,,,,SANTA ISABEL,,,,,,,,,2023-03-28T18:12:28.414,2023-03-28T18:12:28.414
,,,,LOS ANGELES,,,,,,,,,2023-03-29T18:12:28.414,2023-03-29T18:12:28.414
,,,,LOS ANDES,,,,,,,,,2023-03-30T18:12:28.414,2023-03-30T18:12:28.414
,,,,SAN ANTONIO DE SONOMORO,,,,,,,,,2023-03-31T18:12:28.414,2023-03-31T18:12:28.414
,,,,SAN MIGUEL DE MINIARO,,,,,,,,,2023-04-01T18:12:28.414,2023-04-01T18:12:28.414
,,,,BOCA KIATARI,,,,,,,,,2023-04-02T18:12:28.414,2023-04-02T18:12:28.414
,,,,VILLA PROGRESO,,,,,,,,,2023-04-03T18:12:28.414,2023-04-03T18:12:28.414
,,,,MAZARONQUIARI,,,,,,,,,2023-04-04T18:12:28.414,2023-04-04T18:12:28.414
,,,,VILLA SALVADOR,,,,,,,,,2023-04-05T18:12:28.414,2023-04-05T18:12:28.414
,,,,COYENTIMARI,,,,,,,,,2023-04-06T18:12:28.414,2023-04-06T18:12:28.414
,,,,SANTA CRUZ DE ANAPATI,,,,,,,,,2023-04-07T18:12:28.414,2023-04-07T18:12:28.414
,,,,LIBERTAD DE ANAPATE,,,,,,,,,2023-04-08T18:12:28.414,2023-04-08T18:12:28.414
,,,,JUAN PABLO II,,,,,,,,,2023-04-09T18:12:28.414,2023-04-09T18:12:28.414
,,,,PUERTO PORVENIR,,,,,,,,,2023-04-10T18:12:28.414,2023-04-10T18:12:28.414
,,,,UNION PROGRESO,,,,,,,,,2023-04-11T18:12:28.414,2023-04-11T18:12:28.414
,,,,MAVENI,,,,,,,,,2023-04-12T18:12:28.414,2023-04-12T18:12:28.414
,,,,NASCA,,,,,,,,,2023-04-13T18:12:28.414,2023-04-13T18:12:28.414
,,,,TUPAC AMARU II,,,,,,,,,2023-04-14T18:12:28.414,2023-04-14T18:12:28.414
,,,,MICAELA BASTIDAS,,,,,,,,,2023-04-15T18:12:28.414,2023-04-15T18:12:28.414
,,,,PACHACAMILLA,,,,,,,,,2023-04-16T18:12:28.414,2023-04-16T18:12:28.414
,,,,PUERTO ANAPATI,,,,,,,,,2023-04-17T18:12:28.414,2023-04-17T18:12:28.414
,,,,SELVA VIRGEN,,,,,,,,,2023-04-18T18:12:28.414,2023-04-18T18:12:28.414
,,,,NUEVA ESPERANZA,,,,,,,,,2023-04-19T18:12:28.414,2023-04-19T18:12:28.414
,,,,MIRAFLORES,,,,,,,,,2023-04-20T18:12:28.414,2023-04-20T18:12:28.414
,,,,PAMPA ALEGRIA DE ARPAYO,,,,,,,,,2023-04-21T18:12:28.414,2023-04-21T18:12:28.414
,,,,SAN RAMON - MICHICURI,,,,,,,,,2023-04-22T18:12:28.414,2023-04-22T18:12:28.414
,,,,SAN RAMON DE PANGOA - LOS HUERFANOS,,,,,,,,,2023-04-23T18:12:28.414,2023-04-23T18:12:28.414
,,,,SELVA DE ORO,,,,,,,,,2023-04-24T18:12:28.414,2023-04-24T18:12:28.414
,,,,ALTO VILCABAMBA,,,,,,,,,2023-04-25T18:12:28.414,2023-04-25T18:12:28.414
,,,,PUTCAMAYO,,,,,,,,,2023-04-26T18:12:28.414,2023-04-26T18:12:28.414
,,,,MIRAFLORES DE ALTO KIATARI,,,,,,,,,2023-04-27T18:12:28.414,2023-04-27T18:12:28.414
,,,,TUPAC AMARU,,,,,,,,,2023-04-28T18:12:28.414,2023-04-28T18:12:28.414
,,,,NUEVO HORIZONTE,,,,,,,,,2023-04-29T18:12:28.414,2023-04-29T18:12:28.414
,,,,UNION DOS DE MAYO,,,,,,,,,2023-04-30T18:12:28.414,2023-04-30T18:12:28.414
,,,,CUARENTA,,,,,,,,,2023-05-01T18:12:28.414,2023-05-01T18:12:28.414
,,,,COTACHE,,,,,,,,,2023-05-02T18:12:28.414,2023-05-02T18:12:28.414
,,,,VALLE PERDIDO,,,,,,,,,2023-05-03T18:12:28.414,2023-05-03T18:12:28.414
,,,,ALTO SEÑORIA,,,,,,,,,2023-05-04T18:12:28.414,2023-05-04T18:12:28.414
,,,,JERUSALEN DE MIÑARO,,,,,,,,,2023-05-05T18:12:28.414,2023-05-05T18:12:28.414
,,,,MARGEN DERECHA DE RIO SONOMORO,,,,,,,,,2023-05-06T18:12:28.414,2023-05-06T18:12:28.414
,,,,ESMERALDA 2,,,,,,,,,2023-05-07T18:12:28.414,2023-05-07T18:12:28.414
,,,,FRAY MARTIN,,,,,,,,,2023-05-08T18:12:28.414,2023-05-08T18:12:28.414
,,,,CARACOL,,,,,,,,,2023-05-09T18:12:28.414,2023-05-09T18:12:28.414
,,,,ALTO CUBANTIA,,,,,,,,,2023-05-10T18:12:28.414,2023-05-10T18:12:28.414
,,,,VISTA ALEGRE,,,,,,,,,2023-05-11T18:12:28.414,2023-05-11T18:12:28.414
,,,,PARUA,,,,,,,,,2023-05-12T18:12:28.414,2023-05-12T18:12:28.414
,,,,SAN JOSE DE TINCO,,,,,,,,,2023-05-13T18:12:28.414,2023-05-13T18:12:28.414
,,,,YUNGOR PAMPA,,,,,,,,,2023-05-14T18:12:28.414,2023-05-14T18:12:28.414
,,,,SAN JUAN,,,,,,,,,2023-05-15T18:12:28.414,2023-05-15T18:12:28.414
,,,,JATUNHUASI,,,,,,,,,2023-05-16T18:12:28.414,2023-05-16T18:12:28.414
,,,,TOROLUMI,,,,,,,,,2023-05-17T18:12:28.414,2023-05-17T18:12:28.414
,,,,SANTA ROSA DE CULLPAPATA,,,,,,,,,2023-05-18T18:12:28.414,2023-05-18T18:12:28.414
,,,,SEÑOR DE LUREN,,,,,,,,,2023-05-19T18:12:28.414,2023-05-19T18:12:28.414
,,,,COGONTIA,,,,,,,,,2023-05-20T18:12:28.414,2023-05-20T18:12:28.414
,,,,ANTIGUO SHIMAPANGO,,,,,,,,,2023-05-21T18:12:28.414,2023-05-21T18:12:28.414
,,,,SHIROTIARI,,,,,,,,,2023-05-22T18:12:28.414,2023-05-22T18:12:28.414
,,,,SANTA ROSA DE SANGARENI,,,,,,,,,2023-05-23T18:12:28.414,2023-05-23T18:12:28.414
,,,,SAN JUAN DE SANGARENI,,,,,,,,,2023-05-24T18:12:28.414,2023-05-24T18:12:28.414
,,,,LIBERTAD DE SANGARENI,,,,,,,,,2023-05-25T18:12:28.414,2023-05-25T18:12:28.414
,,,,MAPOTOA,,,,,,,,,2023-05-26T18:12:28.414,2023-05-26T18:12:28.414
,,,,NUEVO PARAISO,,,,,,,,,2023-05-27T18:12:28.414,2023-05-27T18:12:28.414
,,,,NUEVA GENERACION,,,,,,,,,2023-05-28T18:12:28.414,2023-05-28T18:12:28.414
,,,,MAYOR PITENE,,,,,,,,,2023-05-29T18:12:28.414,2023-05-29T18:12:28.414
,,,,VALLE HERMOSA,,,,,,,,,2023-05-30T18:12:28.414,2023-05-30T18:12:28.414
,,,,SAN LUIS,,,,,,,,,2023-05-31T18:12:28.414,2023-05-31T18:12:28.414
,,,,PACHACUTEC DE ANAPATE,,,,,,,,,2023-06-01T18:12:28.414,2023-06-01T18:12:28.414
,,,,MONTE LOS OLIVOS,,,,,,,,,2023-06-02T18:12:28.414,2023-06-02T18:12:28.414
,,,,UNION SANTO DOMINGO,,,,,,,,,2023-06-03T18:12:28.414,2023-06-03T18:12:28.414
,,,,YANERIATO,,,,,,,,,2023-06-04T18:12:28.414,2023-06-04T18:12:28.414
,,,,UNION VALLE DE SANGARENI,,,,,,,,,2023-06-05T18:12:28.414,2023-06-05T18:12:28.414
,,,,PARIAGARO,,,,,,,,,2023-06-06T18:12:28.414,2023-06-06T18:12:28.414
,,,,ASHANINKA DE CELENDIN,,,,,,,,,2023-06-07T18:12:28.414,2023-06-07T18:12:28.414
,,,,NUEVA ESPERANZA,,,,,,,,,2023-06-08T18:12:28.414,2023-06-08T18:12:28.414
,,,,UNION PIOTA,,,,,,,,,2023-06-09T18:12:28.414,2023-06-09T18:12:28.414
,,,,SECTOR SAN JUAN DE TINCAVENE,,,,,,,,,2023-06-10T18:12:28.414,2023-06-10T18:12:28.414
,,,,LA JOYA,,,,,,,,,2023-06-11T18:12:28.414,2023-06-11T18:12:28.414
,,,,SANTA FE DE YAVIYORA,,,,,,,,,2023-06-12T18:12:28.414,2023-06-12T18:12:28.414
,,,,PUERTO VILLA,,,,,,,,,2023-06-13T18:12:28.414,2023-06-13T18:12:28.414
,,,,NUEVO BERLIN,,,,,,,,,2023-06-14T18:12:28.414,2023-06-14T18:12:28.414
,,,,VALLE AZUL,,,,,,,,,2023-06-15T18:12:28.414,2023-06-15T18:12:28.414
,,,,MARANKIARI,,,,,,,,,2023-06-16T18:12:28.414,2023-06-16T18:12:28.414
,,,,NUEVA LIBERTAD DE SANGARENI,,,,,,,,,2023-06-17T18:12:28.414,2023-06-17T18:12:28.414
,,,,ALTO CAMONAL,,,,,,,,,2023-06-18T18:12:28.414,2023-06-18T18:12:28.414
,,,,NUEVO AMANECER,,,,,,,,,2023-06-19T18:12:28.414,2023-06-19T18:12:28.414
,,,,SANTA MARIA DE CHIQUIRIARI,,,,,,,,,2023-06-20T18:12:28.414,2023-06-20T18:12:28.414
,,,,PACHIRI,,,,,,,,,2023-06-21T18:12:28.414,2023-06-21T18:12:28.414
,,,,ALTO PACHIRI,,,,,,,,,2023-06-22T18:12:28.414,2023-06-22T18:12:28.414
,,,,CAMPO VERDE,,,,,,,,,2023-06-23T18:12:28.414,2023-06-23T18:12:28.414
,,,,PUERTO UNION LAS PALMERAS,,,,,,,,,2023-06-24T18:12:28.414,2023-06-24T18:12:28.414
,,,,LOS ANGELES,,,,,,,,,2023-06-25T18:12:28.414,2023-06-25T18:12:28.414
,,,,PALOMAR,,,,,,,,,2023-06-26T18:12:28.414,2023-06-26T18:12:28.414
,,,,UNION ALTO SANIBENI,,,,,,,,,2023-06-27T18:12:28.414,2023-06-27T18:12:28.414
,,,,SAN LUIS,,,,,,,,,2023-06-28T18:12:28.414,2023-06-28T18:12:28.414
,,,,SAN JERONIMO,,,,,,,,,2023-06-29T18:12:28.414,2023-06-29T18:12:28.414
,,,,LA FLORIDA,,,,,,,,,2023-06-30T18:12:28.414,2023-06-30T18:12:28.414
,,,,CENTRO SANIVENI,,,,,,,,,2023-07-01T18:12:28.414,2023-07-01T18:12:28.414
,,,,OLLANTA,,,,,,,,,2023-07-02T18:12:28.414,2023-07-02T18:12:28.414
,,,,CIUDAD DE DIOS,,,,,,,,,2023-07-03T18:12:28.414,2023-07-03T18:12:28.414
,,,,SANTA ISABEL,,,,,,,,,2023-07-04T18:12:28.414,2023-07-04T18:12:28.414
,,,,SANTA MARIA,,,,,,,,,2023-07-05T18:12:28.414,2023-07-05T18:12:28.414
,,,,BUENOS AIRES,,,,,,,,,2023-07-06T18:12:28.414,2023-07-06T18:12:28.414
,,,,UNION DE MIRAFLORES,,,,,,,,,2023-07-07T18:12:28.414,2023-07-07T18:12:28.414
,,,,ALTO SHINTORIARI,,,,,,,,,2023-07-08T18:12:28.414,2023-07-08T18:12:28.414
,,,,ALTO SONOMORO,,,,,,,,,2023-07-09T18:12:28.414,2023-07-09T18:12:28.414
